3154	0	25640
3154	1	27573
3154	2	21986
5217	0	34422
5217	1	34994
5217	2	21986
4911	0	39282
4911	1	22842
4911	2	21986
10903	0	24978
10903	1	22842
10903	2	21986
4986	0	40631
4986	1	22842
4986	2	21986
7012	0	33913
7012	1	27573
7012	2	21986
4924	0	35166
4924	1	22842
4924	2	21986
14730	0	30413
14730	1	27573
14730	2	21986
16471	0	30348
16471	1	27573
16471	2	21986
13837	0	32223
13837	1	27573
13837	2	21986
15941	0	27535
15941	1	27573
15941	2	21986
19237	0	27725
19237	1	34994
19237	2	21986
4304	0	24225
4304	1	27573
4304	2	21986
2469	0	27197
2469	1	27573
2469	2	21986
19238	0	40135
19238	1	25772
19238	2	21986
9976	0	26872
9976	1	25772
9976	2	21986
15719	0	22339
15719	1	27573
15719	2	21986
18532	0	27911
18532	1	27573
18532	2	21986
7431	0	26047
7431	1	34994
7431	2	21986
7436	0	39721
7436	1	34994
7436	2	21986
14081	0	26067
14081	1	22842
14081	2	21986
3847	0	31614
3847	1	22842
3847	2	21986
14444	0	36639
14444	1	27573
14444	2	21986
18443	0	39139
18443	1	34994
18443	2	21986
16475	0	30138
16475	1	27573
16475	2	21986
7436	0	39721
7436	1	34994
7436	2	21986
7431	0	26047
7431	1	34994
7431	2	21986
3891	0	21614
3891	1	34994
3891	2	21986
9210	0	30266
9210	1	34994
9210	2	21986
10145	0	32783
10145	1	25772
10145	2	21986
5589	0	39246
5589	1	22842
5589	2	21986
11438	0	32634
11438	1	27573
11438	2	21986
28	0	29824
28	1	27573
28	2	21986
8671	0	27904
8671	1	27573
8671	2	21986
7431	0	26047
7431	1	34994
7431	2	21986
8298	0	27777
8298	1	27573
8298	2	21986
3292	0	35033
3292	1	25772
3292	2	21986
7378	0	25794
7378	1	27573
7378	2	21986
5662	0	31642
5662	1	34994
5662	2	21986
4340	0	20822
4340	1	34994
4340	2	21986
16676	0	35573
16676	1	34994
16676	2	21986
28	0	29824
28	1	27573
28	2	21986
17083	0	31180
17083	1	34994
17083	2	21986
11221	0	27513
11221	1	22842
11221	2	21986
10134	0	36705
10134	1	27573
10134	2	21986
6662	0	34414
6662	1	34994
6662	2	21986
6660	0	27876
6660	1	34994
6660	2	21986
9050	0	40860
9050	1	34994
9050	2	21986
13227	0	37388
13227	1	34994
13227	2	21986
7376	0	37512
7376	1	27573
7376	2	21986
20072	0	38775
20072	1	27573
20072	2	21986
2695	0	22187
2695	1	22842
2695	2	21986
4914	0	33351
4914	1	22842
4914	2	21986
12302	0	28932
12302	1	22842
12302	2	21986
7744	0	38815
7744	1	27573
7744	2	21986
11700	0	26633
11700	1	34994
11700	2	21986
3155	0	37379
3155	1	27573
3155	2	21986
13143	0	23296
13143	1	27573
13143	2	21986
3104	0	22390
3104	1	22842
3104	2	21986
7341	0	23912
7341	1	27573
7341	2	21986
13340	0	40883
13340	1	27573
13340	2	21986
4433	0	21899
4433	1	27573
4433	2	21986
6804	0	32458
6804	1	27573
6804	2	21986
9625	0	27195
9625	1	22842
9625	2	21986
4000	0	35986
4000	1	22842
4000	2	21986
9626	0	28621
9626	1	22842
9626	2	21986
17951	0	29884
17951	1	22842
17951	2	21986
2047	0	33548
2047	1	22842
2047	2	21986
7854	0	30304
7854	1	27573
7854	2	21986
14450	0	31895
14450	1	22842
14450	2	21986
16393	0	21806
16393	1	22842
16393	2	21986
3143	0	25355
3143	1	22842
3143	2	21986
12463	0	37062
12463	1	22842
12463	2	21986
12431	0	25077
12431	1	35755
12431	2	21986
3152	0	20636
3152	1	27573
3152	2	21986
2045	0	23110
2045	1	22842
2045	2	26016
7991	0	24406
7991	1	25772
7991	2	26016
16197	0	34142
16197	1	22842
16197	2	26016
16911	0	38538
16911	1	25772
16911	2	26016
4701	0	23935
4701	1	25772
4701	2	26016
5356	0	23793
5356	1	27573
5356	2	26016
5245	0	25698
5245	1	34994
5245	2	26016
1501	0	23581
1501	1	34994
1501	2	26016
3539	0	24489
3539	1	27573
3539	2	26016
11078	0	30099
11078	1	25772
11078	2	26016
1869	0	34557
1869	1	34994
1869	2	26016
2952	0	36430
2952	1	34994
2952	2	26016
10294	0	21589
10294	1	34994
10294	2	26016
1651	0	22144
1651	1	34994
1651	2	26016
4843	0	36448
4843	1	34994
4843	2	26016
11763	0	29642
11763	1	34994
11763	2	26016
4850	0	35866
4850	1	27573
4850	2	26016
7735	0	34037
7735	1	27573
7735	2	26016
13531	0	25969
13531	1	34994
13531	2	26016
14335	0	21433
14335	1	34994
14335	2	26016
3883	0	36975
3883	1	34994
3883	2	26016
11705	0	37393
11705	1	34994
11705	2	26016
14825	0	24165
14825	1	34994
14825	2	26016
19200	0	37693
19200	1	27573
19200	2	26016
2022	0	33291
2022	1	22842
2022	2	26016
13640	0	24219
13640	1	34994
13640	2	26016
2536	0	27951
2536	1	22842
2536	2	26016
10295	0	29887
10295	1	34994
10295	2	26016
5286	0	40718
5286	1	27573
5286	2	26016
7377	0	31465
7377	1	27573
7377	2	26016
10749	0	22248
10749	1	34994
10749	2	26016
9761	0	22901
9761	1	34994
9761	2	26016
1541	0	31983
1541	1	34994
1541	2	26016
3883	0	36975
3883	1	34994
3883	2	26016
3883	0	36975
3883	1	34994
3883	2	26016
807	0	25278
807	1	34994
807	2	26016
13641	0	32329
13641	1	34994
13641	2	26016
7943	0	25759
7943	1	34994
7943	2	26016
14210	0	24831
14210	1	34994
14210	2	26016
10177	0	29448
10177	1	27573
10177	2	26016
12465	0	33929
12465	1	22842
12465	2	26016
10255	0	21689
10255	1	34994
10255	2	26016
3947	0	40334
3947	1	34994
3947	2	26016
10639	0	37668
10639	1	34994
10639	2	26016
18463	0	20585
18463	1	27573
18463	2	26016
3616	0	24001
3616	1	27573
3616	2	26016
5737	0	40644
5737	1	25772
5737	2	26016
19025	0	40498
19025	1	22842
19025	2	26016
16445	0	33597
16445	1	25772
16445	2	39833
17369	0	29182
17369	1	25772
17369	2	39833
11967	0	24779
11967	1	27573
11967	2	39833
17686	0	29321
17686	1	34994
17686	2	39833
8393	0	36098
8393	1	34994
8393	2	39833
4702	0	37708
4702	1	34994
4702	2	39833
7656	0	21881
7656	1	34994
7656	2	39833
6186	0	25515
6186	1	34994
6186	2	39833
14906	0	33574
14906	1	35755
14906	2	39833
12026	0	29984
12026	1	27573
12026	2	39833
17242	0	20938
17242	1	27573
17242	2	39833
16250	0	32259
16250	1	34994
16250	2	39833
15443	0	32540
15443	1	35755
15443	2	39833
13473	0	26862
13473	1	34994
13473	2	39833
2027	0	24244
2027	1	34994
2027	2	39833
14629	0	22414
14629	1	34994
14629	2	39833
4711	0	35758
4711	1	22842
4711	2	39833
19705	0	31432
19705	1	34994
19705	2	39833
13455	0	30021
13455	1	34994
13455	2	39833
1152	0	21686
1152	1	34994
1152	2	39833
11024	0	28961
11024	1	34994
11024	2	39833
1209	0	36615
1209	1	34994
1209	2	39833
4241	0	29578
4241	1	34994
4241	2	39833
9942	0	35334
9942	1	34994
9942	2	39833
14630	0	34334
14630	1	34994
14630	2	39833
2027	0	24244
2027	1	34994
2027	2	39833
17098	0	31553
17098	1	34994
17098	2	39833
2460	0	35077
2460	1	22842
2460	2	39833
9545	0	32542
9545	1	27573
9545	2	39833
5114	0	28276
5114	1	34994
5114	2	39833
2949	0	36080
2949	1	34994
2949	2	39833
18665	0	38262
18665	1	22842
18665	2	39833
1968	0	29342
1968	1	22842
1968	2	39833
4697	0	37992
4697	1	22842
4697	2	39833
1972	0	32889
1972	1	22842
1972	2	39833
12819	0	23303
12819	1	27573
12819	2	39833
10680	0	21438
10680	1	34994
10680	2	39833
17243	0	33739
17243	1	27573
17243	2	39833
15872	0	39713
15872	1	35755
15872	2	39833
12629	0	27730
12629	1	22842
12629	2	39833
14781	0	33965
14781	1	25772
14781	2	39833
18055	0	34659
18055	1	27573
18055	2	39833
11966	0	25869
11966	1	27573
11966	2	39833
2123	0	21482
2123	1	27573
2123	2	39833
9518	0	26965
9518	1	27573
9518	2	39833
4733	0	31000
4733	1	22842
4733	2	39833
15519	0	36213
15519	1	27573
15519	2	39833
8731	0	25659
8731	1	22842
8731	2	39833
4325	0	27864
4325	1	34994
4325	2	39833
2947	0	30802
2947	1	27573
2947	2	39833
3278	0	25849
3278	1	27573
3278	2	39833
4335	0	35760
4335	1	22842
4335	2	39833
16445	0	33597
16445	1	25772
16445	2	39833
16431	0	24245
16431	1	25772
16431	2	39833
4696	0	33197
4696	1	22842
4696	2	39833
1973	0	35713
1973	1	22842
1973	2	39833
12463	0	37062
12463	1	22842
12463	2	39833
3738	0	26666
3738	1	27573
3738	2	39833
8176	0	27018
8176	1	27573
8176	2	39833
1973	0	35713
1973	1	22842
1973	2	39833
8204	0	37729
8204	1	27573
8204	2	39833
1975	0	39441
1975	1	22842
1975	2	39833
5422	0	24029
5422	1	27573
